run,kernel_down_ns,kernel_first_move_ns,trial,action,ui_down_ns,ui_first_move_ns,gl_down_ns,gl_first_move_ns,applied_ns,first_render_ns,half_lane_ns,ninety_lane_ns
1.4-fast-8,1142392157746386,1142392165541595,47,4,1142392160343470,1142392175106128,1142392167937898,1142392183595608,1142392185507795,1142392199062692,0,0
2.0-cruise-120,1142088492646396,1142088500459053,0,1,1142088494748740,1142088514071190,1142088497902647,1142088528988848,1142088580010571,1142088594294375,1142088627595003,1142088745936421
2.0-cruise-120,1142089499618996,1142089507588945,1,2,1142089502637382,1142089516785769,1142089514648008,1142089530725927,1142089581129734,1142089595624475,1142089629786041,1142089747358136
2.0-cruise-120,1142090506592430,1142090514649202,2,3,1142090508913732,1142090535952902,1142090518193212,1142090550190559,1142090585291032,1142090598551450,0,0
2.0-cruise-120,1142091513484562,1142091521824979,3,4,1142091515846906,1142091538716074,1142091519847739,1142091551754878,1142091588438267,1142091601954622,0,0
2.0-cruise-120,1142092520645756,1142092528502631,4,1,1142092523240652,1142092541324247,1142092538835914,1142092555895551,1142092607018993,1142092620683370,1142092667873062,1142092770924635
2.0-cruise-120,1142093527674554,1142093535464815,5,2,1142093529970752,1142093543259660,1142093540576951,1142093556915078,1142093609464406,1142093623792584,1142093654465400,1142093773831089
2.0-cruise-120,1142094534694810,1142094542542259,6,3,1142094537863040,1142094563012001,1142094544435384,1142094576654763,1142094611502318,1142094625605861,0,0
2.0-cruise-120,1142095541493765,1142095549617568,7,4,1142095543491734,1142095565533038,1142095547676943,1142095578853456,1142095631571638,1142095644223671,0,0
2.0-cruise-120,1142096548685011,1142096556566001,8,1,1142096552102407,1142096567881055,1142096565356888,1142096581204598,1142096633773926,1142096647218458,1142096678065180,1142096799063838
2.0-cruise-120,1142097555505216,1142097563580112,9,2,1142097558287247,1142097570293915,1142097567971519,1142097583372197,1142097635337203,1142097648791996,1142097682427468,1142097801657323
2.0-cruise-120,1142098562657035,1142098570588754,10,3,1142098565615108,1142098589707454,1142098571610213,1142098602689851,1142098639022667,1142098652230012,0,0
2.0-cruise-120,1142099569468124,1142099577454948,11,4,1142099571795052,1142099592338804,1142099573535208,1142099604956461,1142099657508602,1142099672065843,0,0
2.0-cruise-120,1142100576737704,1142100584612549,12,1,1142100579445465,1142100594653904,1142100590643174,1142100607612603,1142100659335212,1142100672323911,1142100706324436,1142100825463718
2.0-cruise-120,1142101583644523,1142101591954941,13,2,1142101586288065,1142101613276505,1142101593656555,1142101627594007,1142101661461250,1142101675545782,1142101708240838,1142101826085953
2.0-cruise-120,1142102590629363,1142102598596395,14,3,1142102593331811,1142102616394938,1142102597426551,1142102629444158,1142102663998277,1142102678047028,0,0
2.0-cruise-120,1142103597640505,1142103605606912,15,4,1142103600386599,1142103618539049,1142103615762850,1142103631889519,1142103683564576,1142103697682442,0,0
2.0-cruise-120,1142104604943418,1142104612612273,16,1,1142104608777481,1142104621580451,1142104618467430,1142104633961702,1142104686390197,1142104699719781,1142104733001243,1142104850920942
2.0-cruise-120,1142105612281331,1142105619639456,17,2,1142105614684300,1142105640665552,1142105621638415,1142105653409408,1142105689673943,1142105702418631,1142105735552176,1142105854163334
2.0-cruise-120,1142106618636691,1142106626469400,18,3,1142106620929192,1142106643153152,1142106621458046,1142106655737789,1142106708155867,1142106721793368,0,0
2.0-cruise-120,1142107625531375,1142107633491115,19,4,1142107628497104,1142107645525544,1142107641985231,1142107657544920,1142107711397581,1142107725067531,0,0
2.0-cruise-120,1142108632646996,1142108640570539,20,1,1142108636079028,1142108647963925,1142108644751581,1142108660168509,1142108713863723,1142108726544610,1142108759334613,1142108879403896
2.0-cruise-120,1142109639640638,1142109647585899,21,2,1142109643384701,1142109667153662,1142109648965587,1142109680101371,1142109716366375,1142109729708720,1142109760549921,1142109881192016
2.0-cruise-120,1142110646483238,1142110654741000,22,3,1142110649184593,1142110669861678,1142110650898395,1142110681906523,1142110734375539,1142110747978248,0,0
2.0-cruise-120,1142111653655370,1142111661648183,23,4,1142111656478079,1142111672368393,1142111668331726,1142111684524800,1142111736850118,1142111751071786,0,0
2.0-cruise-120,1142112660956199,1142112668635002,24,1,1142112664234221,1142112691424275,1142112671229221,1142112703827714,1142112738662822,1142112752610740,1142112785484233,1142112904010807
2.0-cruise-120,1142113667506456,1142113675600571,25,2,1142113669840935,1142113693677813,1142113674632290,1142113706086356,1142113740994328,1142113754445006,1142113788333656,1142113905074448
2.0-cruise-120,1142114674698692,1142114682534318,26,3,1142114678768119,1142114696436298,1142114692039318,1142114708344841,1142114760493179,1142114774424431,0,0
